Local Auth,"Purchaser, NHS Funded, NHS Hospital (%)","Purchaser, NHS Funded, Independent Sector (%)","Purchaser, Privately Funded (%)","Gestation weeks, 3-9 (%)","Gestation weeks, 10-12 (%)","Gestation weeks, 13+ (%)",Total NHS funded abortion,NHS abortion funded at under 10 weeks,Percentage of all NHS funded abortions under 10 weeks,95% confidence interval,Repeat abortions in women aged under 25,,,,,,,,,,
Anglesey,10,..,..,81,..,..,188,151,80,74 - 85,17,,,,,,,,,,
Blaenau Gwent,73,22,5,74,19,7,193,140,73,66 - 78,18,,,,,,,,,,
Bridgend,89,..,..,56,33,12,322,168,52,47 - 58,20,,,,,,,,,,
Caerphilly,75,20,6,76,16,9,456,346,76,72 - 80,17,,,,,,,,,,
Cardiff,84,4,13,73,18,9,"1,100",774,70,68 - 73,18,,,,,,,,,,
Carmarthen,90,..,..,58,33,10,351,190,54,49 - 59,18,,,,,,,,,,
Ceredigion,97,..,..,77,..,..,144,111,77,70 - 83,17,,,,,,,,,,
Conwy,9,88,3,72,17,11,311,224,72,67 - 77,28,,,,,,,,,,
Denbighshire,..,91,..,80,11,10,266,210,79,74 - 83,27,,,,,,,,,,
Flintshire,..,93,..,75,15,10,428,319,75,70 - 78,18,,,,,,,,,,
Gwynedd,13,84,4,74,12,14,329,244,74,69 - 79,19,,,,,,,,,,
Merthyr Tydfil,81,10,9,68,21,12,132,88,67,58 - 74,..,,,,,,,,,,
Monmouth,66,25,9,73,18,9,167,120,72,65 - 78,..,,,,,,,,,,
Neath & Port Talbot,89,3,9,56,33,11,368,198,54,49 - 59,17,,,,,,,,,,
Newport,72,24,4,76,17,6,435,330,76,72 - 80,17,,,,,,,,,,
Pembroke,85,7,8,72,20,7,287,207,72,67 - 77,20,,,,,,,,,,
Powys,81,15,5,66,24,10,255,166,65,59 - 71,17,,,,,,,,,,
"Rhondda, Cynon, Taff",93,2,5,69,24,7,737,503,68,65 - 72,22,,,,,,,,,,
Swansea,90,2,8,57,31,12,603,321,53,49 - 57,23,,,,,,,,,,
The Vale of Glamorgan,85,3,13,71,20,9,288,195,68,62 - 73,21,,,,,,,,,,
Torfaen,74,21,5,77,14,9,257,194,76,70 - 80,24,,,,,,,,,,
Wrexham,..,97,..,77,15,8,426,326,77,72 - 80,22,,,,,,,,,,
